"Date","Price","Open","High","Low","Change %"
"Aug 31, 2018","1.1601","1.1671","1.1692","1.1585","-0.60%"
"Aug 30, 2018","1.1671","1.1707","1.1720","1.1641","-0.32%"
"Aug 29, 2018","1.1708","1.1695","1.1712","1.1652","0.11%"
"Aug 28, 2018","1.1695","1.1678","1.1735","1.1662","0.15%"
"Aug 27, 2018","1.1678","1.1631","1.1694","1.1592","0.47%"
"Aug 24, 2018","1.1623","1.1540","1.1641","1.1533","0.73%"
"Aug 23, 2018","1.1539","1.1596","1.1601","1.1530","-0.50%"
"Aug 22, 2018","1.1597","1.1570","1.1624","1.1551","0.22%"
"Aug 21, 2018","1.1571","1.1482","1.1602","1.1479","0.78%"
"Aug 20, 2018","1.1481","1.1442","1.1486","1.1394","0.37%"
"Aug 17, 2018","1.1439","1.1377","1.1447","1.1365","0.54%"
"Aug 16, 2018","1.1377","1.1345","1.1411","1.1335","0.28%"
"Aug 15, 2018","1.1345","1.1344","1.1357","1.1299","0.01%"
"Aug 14, 2018","1.1344","1.1410","1.1431","1.1330","-0.57%"
"Aug 13, 2018","1.1409","1.1389","1.1434","1.1364","-0.02%"
"Aug 10, 2018","1.1411","1.1526","1.1537","1.1384","-1.01%"
"Aug 09, 2018","1.1527","1.1609","1.1620","1.1525","-0.72%"
"Aug 08, 2018","1.1611","1.1598","1.1629","1.1571","0.10%"
"Aug 07, 2018","1.1599","1.1555","1.1610","1.1547","0.39%"
"Aug 06, 2018","1.1554","1.1571","1.1574","1.1527","-0.11%"
"Aug 03, 2018","1.1567","1.1583","1.1611","1.1559","-0.15%"
"Aug 02, 2018","1.1584","1.1660","1.1669","1.1582","-0.65%"
"Aug 01, 2018","1.1660","1.1691","1.1701","1.1656","-0.27%"
"Jul 31, 2018","1.1691","1.1706","1.1745","1.1682","-0.13%"
"Jul 30, 2018","1.1706","1.1660","1.1721","1.1648","0.41%"
"Jul 27, 2018","1.1658","1.1643","1.1665","1.1621","0.13%"
"Jul 26, 2018","1.1643","1.1728","1.1744","1.1639","-0.72%"
"Jul 25, 2018","1.1728","1.1684","1.1739","1.1663","0.36%"
"Jul 24, 2018","1.1686","1.1692","1.1719","1.1654","-0.05%"
"Jul 23, 2018","1.1692","1.1730","1.1752","1.1682","-0.24%"
"Jul 20, 2018","1.1720","1.1644","1.1740","1.1626","0.66%"
"Jul 19, 2018","1.1643","1.1639","1.1680","1.1574","0.03%"
"Jul 18, 2018","1.1639","1.1660","1.1665","1.1601","-0.19%"
"Jul 17, 2018","1.1661","1.1711","1.1746","1.1650","-0.42%"
"Jul 16, 2018","1.1710","1.1676","1.1726","1.1674","0.21%"
"Jul 13, 2018","1.1685","1.1669","1.1688","1.1610","0.11%"
"Jul 12, 2018","1.1672","1.1674","1.1697","1.1648","-0.02%"
"Jul 11, 2018","1.1674","1.1745","1.1760","1.1665","-0.60%"
"Jul 10, 2018","1.1744","1.1751","1.1764","1.1690","-0.06%"
"Jul 09, 2018","1.1751","1.1748","1.1792","1.1731","0.03%"
"Jul 06, 2018","1.1747","1.1690","1.1769","1.1679","0.48%"
"Jul 05, 2018","1.1691","1.1655","1.1722","1.1649","0.30%"
"Jul 04, 2018","1.1656","1.1658","1.1684","1.1629","-0.01%"
"Jul 03, 2018","1.1657","1.1641","1.1675","1.1621","0.14%"
"Jul 02, 2018","1.1641","1.1651","1.1699","1.1590","-0.38%"
"Jun 29, 2018","1.1685","1.1569","1.1692","1.1558","1.00%"
"Jun 28, 2018","1.1569","1.1555","1.1602","1.1527","0.13%"
"Jun 27, 2018","1.1554","1.1647","1.1674","1.1541","-0.80%"
"Jun 26, 2018","1.1647","1.1704","1.1722","1.1635","-0.49%"
"Jun 25, 2018","1.1704","1.1659","1.1715","1.1627","0.40%"
"Jun 22, 2018","1.1657","1.1604","1.1677","1.1600","0.47%"
"Jun 21, 2018","1.1603","1.1572","1.1635","1.1509","0.27%"
"Jun 20, 2018","1.1572","1.1590","1.1602","1.1537","-0.16%"
"Jun 19, 2018","1.1590","1.1624","1.1646","1.1530","-0.28%"
"Jun 18, 2018","1.1623","1.1609","1.1625","1.1563","0.12%"
"Jun 15, 2018","1.1609","1.1568","1.1629","1.1543","0.35%"
"Jun 14, 2018","1.1569","1.1791","1.1853","1.1562","-1.88%"
"Jun 13, 2018","1.1791","1.1745","1.1803","1.1725","0.39%"
"Jun 12, 2018","1.1745","1.1784","1.1811","1.1733","-0.33%"
"Jun 11, 2018","1.1784","1.1766","1.1822","1.1754","0.14%"
"Jun 08, 2018","1.1768","1.1800","1.1812","1.1726","-0.26%"
"Jun 07, 2018","1.1799","1.1774","1.1842","1.1772","0.22%"
"Jun 06, 2018","1.1773","1.1717","1.1797","1.1708","0.47%"
"Jun 05, 2018","1.1718","1.1698","1.1733","1.1652","0.16%"
"Jun 04, 2018","1.1699","1.1656","1.1744","1.1652","0.33%"
"Jun 01, 2018","1.1661","1.1691","1.1718","1.1617","-0.27%"
