"Date","Price","Open","High","Low","Change %"
"Aug 29, 2018","1.1708","1.1695","1.1712","1.1652","0.11%"
"Aug 28, 2018","1.1695","1.1678","1.1735","1.1662","0.15%"
"Aug 27, 2018","1.1678","1.1631","1.1694","1.1592","0.47%"
"Aug 24, 2018","1.1623","1.1540","1.1641","1.1533","0.73%"
"Aug 23, 2018","1.1539","1.1596","1.1601","1.1530","-0.50%"
"Aug 22, 2018","1.1597","1.1570","1.1624","1.1551","0.22%"
"Aug 21, 2018","1.1571","1.1482","1.1602","1.1479","0.78%"
"Aug 20, 2018","1.1481","1.1442","1.1486","1.1394","0.37%"
"Aug 17, 2018","1.1439","1.1377","1.1447","1.1365","0.54%"
"Aug 16, 2018","1.1377","1.1345","1.1411","1.1335","0.28%"
"Aug 15, 2018","1.1345","1.1344","1.1357","1.1299","0.01%"
"Aug 14, 2018","1.1344","1.1410","1.1431","1.1330","-0.57%"
"Aug 13, 2018","1.1409","1.1389","1.1434","1.1364","-0.02%"
"Aug 10, 2018","1.1411","1.1526","1.1537","1.1384","-1.01%"
"Aug 09, 2018","1.1527","1.1609","1.1620","1.1525","-0.72%"
"Aug 08, 2018","1.1611","1.1598","1.1629","1.1571","0.10%"
"Aug 07, 2018","1.1599","1.1555","1.1610","1.1547","0.39%"
"Aug 06, 2018","1.1554","1.1571","1.1574","1.1527","-0.11%"
"Aug 03, 2018","1.1567","1.1583","1.1611","1.1559","-0.15%"
"Aug 02, 2018","1.1584","1.1660","1.1669","1.1582","-0.65%"
"Aug 01, 2018","1.1660","1.1691","1.1701","1.1656","-0.27%"
