"Date","Price","Open","High","Low","Vol.","Change %"
"Aug 31, 2018","1,200.30","1,207.10","1,208.20","1,199.10","0.19K","0.22%"
"Aug 30, 2018","1,197.70","1,205.40","1,205.60","1,196.00","0.49K","-0.56%"
"Aug 29, 2018","1,204.50","1,205.20","1,205.20","1,202.40","0.03K","-0.24%"
"Aug 28, 2018","1,207.40","1,209.70","1,217.00","1,202.30","0.14K","-0.13%"
"Aug 27, 2018","1,209.00","1,210.30","1,211.40","1,205.20","0.15K","0.22%"
"Aug 24, 2018","1,206.30","1,185.30","1,208.00","1,185.30","0.01K","1.63%"
"Aug 23, 2018","1,187.00","1,189.30","1,190.30","1,184.90","0.10K","-0.78%"
"Aug 22, 2018","1,196.30","1,194.70","1,196.20","1,194.70","0.02K","0.31%"
"Aug 21, 2018","1,192.60","1,189.80","1,190.50","1,189.80","0.02K","0.49%"
"Aug 20, 2018","1,186.80","1,184.80","1,190.00","1,184.40","0.07K","0.88%"
"Aug 17, 2018","1,176.50","1,174.70","1,181.20","1,174.70","0.07K","0.03%"
"Aug 16, 2018","1,176.20","1,173.20","1,180.20","1,161.40","0.12K","-0.11%"
"Aug 15, 2018","1,177.50","1,187.80","1,188.10","1,174.60","0.07K","-1.30%"
"Aug 14, 2018","1,193.00","1,193.10","1,197.50","1,192.80","0.09K","0.14%"
"Aug 13, 2018","1,191.30","1,207.00","1,207.40","1,191.60","0.08K","-1.63%"
"Aug 10, 2018","1,211.10","1,212.50","1,216.40","1,205.60","0.08K","-0.07%"
"Aug 09, 2018","1,211.90","1,214.50","1,215.30","1,211.60","0.04K","-0.06%"
"Aug 08, 2018","1,212.60","1,212.00","1,215.20","1,205.90","0.21K","0.25%"
"Aug 07, 2018","1,209.60","1,207.80","1,214.80","1,207.80","0.72K","0.08%"
"Aug 06, 2018","1,208.60","1,214.40","1,214.40","1,206.60","0.30K","-0.46%"
"Aug 03, 2018","1,214.20","1,206.50","1,218.60","1,205.10","0.78K","0.30%"
"Aug 02, 2018","1,210.60","1,214.70","1,219.30","1,205.80","0.41K","-0.60%"
"Aug 01, 2018","1,217.90","1,222.90","1,223.70","1,214.40","1.03K","-0.47%"
"Jul 31, 2018","1,223.70","1,220.40","1,228.10","1,213.00","2.72K","0.20%"
"Jul 30, 2018","1,221.30","1,222.50","1,223.90","1,218.10","62.24K","-0.07%"
"Jul 27, 2018","1,222.20","1,223.50","1,226.80","1,216.70","-","-0.25%"
"Jul 26, 2018","1,225.30","1,227.80","1,227.80","1,227.80","0.00K","-0.62%"
"Jul 25, 2018","1,233.00","1,225.30","1,234.30","1,223.20","-","0.63%"
"Jul 24, 2018","1,225.30","1,224.40","1,229.60","1,218.20","-","0.11%"
"Jul 23, 2018","1,224.00","1,222.00","1,222.00","1,222.00","0.00K","-0.45%"
"Jul 20, 2018","1,229.50","1,229.50","1,229.50","1,229.50","-","0.58%"
"Jul 19, 2018","1,222.40","1,227.20","1,228.00","1,211.70","0.03K","-0.32%"
"Jul 18, 2018","1,226.30","1,226.70","1,226.70","1,222.20","0.07K","0.05%"
"Jul 17, 2018","1,225.70","1,225.70","1,225.70","1,225.70","-","-1.00%"
"Jul 16, 2018","1,238.10","1,242.70","1,243.80","1,242.70","0.00K","-0.12%"
"Jul 13, 2018","1,239.60","1,244.70","1,247.00","1,244.70","0.00K","-0.43%"
"Jul 12, 2018","1,245.00","1,240.90","1,246.70","1,240.90","0.01K","0.18%"
"Jul 11, 2018","1,242.80","1,253.20","1,253.20","1,247.90","0.03K","-0.88%"
"Jul 10, 2018","1,253.80","1,256.20","1,256.90","1,249.30","0.07K","-0.34%"
"Jul 09, 2018","1,258.10","1,258.20","1,262.30","1,257.70","0.04K","0.30%"
"Jul 06, 2018","1,254.30","1,255.50","1,255.50","1,254.40","0.01K","-0.24%"
"Jul 05, 2018","1,257.30","1,253.70","1,259.90","1,253.60","0.01K","-0.06%"
"Jul 04, 2018","1,258.10","1,256.20","1,262.40","1,255.30","-","0.52%"
"Jul 03, 2018","1,251.60","1,238.10","1,254.10","1,237.00","0.04K","0.95%"
"Jul 02, 2018","1,239.80","1,249.90","1,249.90","1,239.80","0.03K","-0.92%"
"Jun 29, 2018","1,251.30","1,250.30","1,253.30","1,249.10","0.05K","0.28%"
"Jun 28, 2018","1,247.80","1,251.70","1,251.70","1,244.80","0.38K","-0.40%"
"Jun 27, 2018","1,252.80","1,255.50","1,255.50","1,252.30","0.01K","-0.30%"
"Jun 26, 2018","1,256.60","1,267.20","1,267.20","1,257.50","0.09K","-0.71%"
"Jun 25, 2018","1,265.60","1,270.60","1,271.20","1,265.90","0.04K","-0.14%"
"Jun 22, 2018","1,267.40","1,268.10","1,270.20","1,267.00","0.07K","0.02%"
"Jun 21, 2018","1,267.20","1,262.70","1,268.90","1,260.00","0.05K","-0.31%"
"Jun 20, 2018","1,271.20","1,274.40","1,274.40","1,271.50","0.01K","-0.34%"
"Jun 19, 2018","1,275.60","1,278.70","1,281.80","1,269.90","0.03K","-0.05%"
"Jun 18, 2018","1,276.20","1,280.70","1,280.70","1,277.00","0.04K","0.13%"
"Jun 15, 2018","1,274.60","1,297.40","1,297.40","1,274.00","0.59K","-2.25%"
"Jun 14, 2018","1,304.00","1,297.20","1,307.70","1,297.20","0.04K","0.55%"
"Jun 13, 2018","1,296.90","1,294.00","1,299.40","1,290.90","0.14K","0.14%"
"Jun 12, 2018","1,295.10","1,297.80","1,298.10","1,292.70","0.15K","-0.29%"
