"Date","Price","Open","High","Low","Vol.","Change %"
"Aug 29, 2018","8,109.69","8,044.34","8,113.56","8,042.10","428.42M","0.99%"
"Aug 28, 2018","8,030.04","8,039.01","8,046.31","8,009.59","453.27M","0.15%"
"Aug 27, 2018","8,017.90","7,989.64","8,024.94","7,976.60","511.44M","0.91%"
"Aug 24, 2018","7,945.98","7,907.81","7,949.71","7,907.10","437.24M","0.86%"
"Aug 23, 2018","7,878.46","7,886.47","7,926.32","7,866.53","428.23M","-0.13%"
"Aug 22, 2018","7,889.10","7,844.04","7,897.63","7,840.84","383.82M","0.38%"
"Aug 21, 2018","7,859.17","7,840.09","7,897.68","7,836.79","427.06M","0.49%"
"Aug 20, 2018","7,821.01","7,834.37","7,837.14","7,787.90","411.86M","0.06%"
"Aug 17, 2018","7,816.33","7,786.64","7,830.78","7,752.68","481.16M","0.13%"
"Aug 16, 2018","7,806.52","7,826.95","7,849.67","7,795.74","468.96M","0.42%"
"Aug 15, 2018","7,774.12","7,810.02","7,832.66","7,732.69","535.19M","-1.23%"
"Aug 14, 2018","7,870.89","7,847.88","7,878.23","7,815.50","451.62M","0.65%"
"Aug 13, 2018","7,819.71","7,848.00","7,888.66","7,814.27","433.65M","-0.25%"
"Aug 10, 2018","7,839.11","7,834.71","7,866.19","7,818.37","485.57M","-0.67%"
"Aug 09, 2018","7,891.78","7,886.52","7,923.35","7,881.06","451.62M","0.04%"
"Aug 08, 2018","7,888.33","7,880.00","7,901.69","7,864.46","474.70M","0.06%"
"Aug 07, 2018","7,883.66","7,878.62","7,898.20","7,868.65","514.39M","0.31%"
"Aug 06, 2018","7,859.68","7,809.54","7,859.68","7,801.88","493.69M","0.61%"
"Aug 03, 2018","7,812.02","7,819.23","7,824.06","7,783.30","477.35M","0.12%"
"Aug 02, 2018","7,802.69","7,659.52","7,808.85","7,659.52","491.31M","1.24%"
"Aug 01, 2018","7,707.29","7,701.82","7,732.68","7,670.71","531.48M","0.46%"
