"Date","Price","Open","High","Low","Vol.","Change %"
"Aug 31, 2018","2,901.52","2,898.37","2,906.32","2,891.73","-","0.01%"
"Aug 30, 2018","2,901.13","2,908.94","2,912.46","2,895.22","-","-0.44%"
"Aug 29, 2018","2,914.04","2,900.62","2,916.50","2,898.40","-","0.57%"
"Aug 28, 2018","2,897.52","2,901.45","2,903.77","2,893.50","-","0.03%"
"Aug 27, 2018","2,896.74","2,884.69","2,898.25","2,884.69","-","0.77%"
"Aug 24, 2018","2,874.69","2,862.35","2,876.16","2,862.35","-","0.62%"
"Aug 23, 2018","2,856.98","2,860.29","2,868.78","2,854.03","-","-0.17%"
"Aug 22, 2018","2,861.82","2,860.99","2,867.54","2,856.05","-","-0.04%"
"Aug 21, 2018","2,862.96","2,861.51","2,873.23","2,861.32","-","0.21%"
"Aug 20, 2018","2,857.05","2,853.93","2,859.76","2,850.62","-","0.24%"
"Aug 17, 2018","2,850.13","2,838.32","2,855.63","2,833.73","-","0.33%"
"Aug 16, 2018","2,840.69","2,831.44","2,850.49","2,831.44","-","0.79%"
"Aug 15, 2018","2,818.37","2,827.95","2,827.95","2,802.49","-","-0.76%"
"Aug 14, 2018","2,839.96","2,827.88","2,843.11","2,826.58","-","0.64%"
"Aug 13, 2018","2,821.93","2,835.46","2,843.40","2,819.88","-","-0.40%"
"Aug 10, 2018","2,833.28","2,839.64","2,842.20","2,825.81","-","-0.71%"
"Aug 09, 2018","2,853.58","2,857.19","2,862.48","2,851.98","-","-0.14%"
"Aug 08, 2018","2,857.70","2,856.79","2,862.44","2,853.09","-","-0.03%"
"Aug 07, 2018","2,858.45","2,855.92","2,863.43","2,855.92","-","0.28%"
"Aug 06, 2018","2,850.40","2,840.29","2,853.29","2,835.98","-","0.35%"
"Aug 03, 2018","2,840.35","2,829.62","2,840.38","2,827.37","-","0.46%"
"Aug 02, 2018","2,827.22","2,800.48","2,829.91","2,796.34","-","0.49%"
"Aug 01, 2018","2,813.36","2,821.17","2,825.83","2,805.85","-","-0.10%"
"Jul 31, 2018","2,816.29","2,809.73","2,824.46","2,808.06","-","0.49%"
"Jul 30, 2018","2,802.60","2,819.00","2,821.74","2,798.11","-","-0.58%"
"Jul 27, 2018","2,818.82","2,842.35","2,843.17","2,808.34","-","-0.66%"
"Jul 26, 2018","2,837.44","2,835.49","2,845.57","2,835.26","-","-0.30%"
"Jul 25, 2018","2,846.07","2,817.73","2,848.03","2,817.73","-","0.91%"
"Jul 24, 2018","2,820.40","2,820.68","2,829.99","2,811.12","-","0.48%"
"Jul 23, 2018","2,806.98","2,799.17","2,808.61","2,795.14","-","0.18%"
"Jul 20, 2018","2,801.83","2,804.55","2,809.70","2,800.01","-","-0.09%"
"Jul 19, 2018","2,804.49","2,809.37","2,812.05","2,799.77","-","-0.40%"
"Jul 18, 2018","2,815.62","2,811.35","2,816.76","2,805.89","-","0.22%"
"Jul 17, 2018","2,809.55","2,789.34","2,814.19","2,789.24","-","0.40%"
"Jul 16, 2018","2,798.43","2,801.43","2,803.71","2,793.39","-","-0.10%"
"Jul 13, 2018","2,801.31","2,796.93","2,804.53","2,791.69","-","0.11%"
"Jul 12, 2018","2,798.29","2,783.14","2,799.22","2,781.53","-","0.87%"
"Jul 11, 2018","2,774.02","2,779.82","2,785.91","2,770.77","-","-0.71%"
"Jul 10, 2018","2,793.84","2,788.56","2,795.58","2,786.24","-","0.35%"
"Jul 09, 2018","2,784.17","2,768.51","2,784.65","2,768.51","-","0.88%"
"Jul 06, 2018","2,759.82","2,737.68","2,764.41","2,733.52","-","0.85%"
"Jul 05, 2018","2,736.61","2,724.19","2,737.83","2,716.02","-","0.86%"
"Jul 03, 2018","2,713.22","2,733.27","2,736.58","2,711.16","-","-0.49%"
"Jul 02, 2018","2,726.71","2,704.95","2,727.26","2,698.95","-","0.31%"
"Jun 29, 2018","2,718.37","2,727.13","2,743.26","2,718.03","-","0.08%"
"Jun 28, 2018","2,716.31","2,698.69","2,724.34","2,691.99","-","0.62%"
"Jun 27, 2018","2,699.63","2,728.45","2,746.09","2,699.38","-","-0.86%"
"Jun 26, 2018","2,723.06","2,722.12","2,732.91","2,715.60","-","0.22%"
"Jun 25, 2018","2,717.07","2,742.94","2,742.94","2,698.67","-","-1.37%"
"Jun 22, 2018","2,754.88","2,760.79","2,764.17","2,752.68","-","0.19%"
"Jun 21, 2018","2,749.76","2,769.28","2,769.28","2,744.39","-","-0.63%"
"Jun 20, 2018","2,767.32","2,769.73","2,774.86","2,763.91","-","0.17%"
"Jun 19, 2018","2,762.59","2,752.01","2,765.05","2,743.19","-","-0.40%"
"Jun 18, 2018","2,773.75","2,765.79","2,774.99","2,757.12","-","-0.21%"
"Jun 15, 2018","2,779.66","2,777.78","2,782.81","2,761.73","-","-0.10%"
"Jun 14, 2018","2,782.49","2,783.21","2,789.06","2,776.52","-","0.25%"
"Jun 13, 2018","2,775.63","2,787.94","2,791.47","2,774.65","-","-0.40%"
"Jun 12, 2018","2,786.85","2,785.60","2,789.80","2,778.78","-","0.17%"
"Jun 11, 2018","2,782.00","2,780.18","2,790.21","2,780.17","-","0.11%"
"Jun 08, 2018","2,779.03","2,765.84","2,779.39","2,763.59","-","0.31%"
"Jun 07, 2018","2,770.37","2,774.84","2,779.90","2,760.16","-","-0.07%"
"Jun 06, 2018","2,772.35","2,753.25","2,772.39","2,748.46","-","0.86%"
"Jun 05, 2018","2,748.80","2,748.46","2,752.61","2,739.51","-","0.07%"
"Jun 04, 2018","2,746.87","2,741.67","2,749.16","2,740.54","-","0.45%"
"Jun 01, 2018","2,734.62","2,718.70","2,736.93","2,718.70","-","1.08%"
