"Date","Price","Open","High","Low","Vol.","Change %"
"Aug 24, 2018","2,874.69","2,862.35","2,876.16","2,862.35","-","0.62%"
"Aug 23, 2018","2,856.98","2,860.29","2,868.78","2,854.03","-","-0.17%"
"Aug 22, 2018","2,861.82","2,860.99","2,867.54","2,856.05","-","-0.04%"
"Aug 21, 2018","2,862.96","2,861.51","2,873.23","2,861.32","-","0.21%"
"Aug 20, 2018","2,857.05","2,853.93","2,859.76","2,850.62","-","0.24%"
"Aug 17, 2018","2,850.13","2,838.32","2,855.63","2,833.73","-","0.33%"
"Aug 16, 2018","2,840.69","2,831.44","2,850.49","2,831.44","-","0.79%"
"Aug 15, 2018","2,818.37","2,827.95","2,827.95","2,802.49","-","-0.76%"
"Aug 14, 2018","2,839.96","2,827.88","2,843.11","2,826.58","-","0.64%"
"Aug 13, 2018","2,821.93","2,835.46","2,843.40","2,819.88","-","-0.40%"
"Aug 10, 2018","2,833.28","2,839.64","2,842.20","2,825.81","-","-0.71%"
"Aug 09, 2018","2,853.58","2,857.19","2,862.48","2,851.98","-","-0.14%"
"Aug 08, 2018","2,857.70","2,856.79","2,862.44","2,853.09","-","-0.03%"
"Aug 07, 2018","2,858.45","2,855.92","2,863.43","2,855.92","-","0.28%"
"Aug 06, 2018","2,850.40","2,840.29","2,853.29","2,835.98","-","0.35%"
"Aug 03, 2018","2,840.35","2,829.62","2,840.38","2,827.37","-","0.46%"
"Aug 02, 2018","2,827.22","2,800.48","2,829.91","2,796.34","-","0.49%"
"Aug 01, 2018","2,813.36","2,821.17","2,825.83","2,805.85","-","-0.10%"
